epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,15802.5,0.42179,0.27337,0.9258,0.99521,0.99765,0.99459,0.9769,0.24752,0.14047,0.80089,0.002575,0.002575,0.002575
152,15895.8,0.41851,0.27562,0.92612,0.99432,0.99799,0.99453,0.97824,0.24367,0.13826,0.79934,0.0025255,0.0025255,0.0025255
153,15994.5,0.42599,0.27646,0.92514,0.99442,0.99745,0.99456,0.97815,0.24279,0.13894,0.79845,0.002476,0.002476,0.002476
154,16086.3,0.42203,0.26913,0.92864,0.99409,0.99707,0.99459,0.97781,0.24176,0.13834,0.79754,0.0024265,0.0024265,0.0024265
155,16179.8,0.4244,0.27082,0.92927,0.99385,0.99761,0.99461,0.97895,0.24148,0.13827,0.79717,0.002377,0.002377,0.002377
156,16278.3,0.42169,0.27455,0.93124,0.99423,0.99727,0.99461,0.97877,0.23873,0.13829,0.79679,0.0023275,0.0023275,0.0023275
157,16369.8,0.41408,0.26623,0.92333,0.99471,0.99761,0.99462,0.9788,0.24038,0.13587,0.79811,0.002278,0.002278,0.002278
158,16463.1,0.40521,0.26215,0.92283,0.99494,0.99771,0.99463,0.97788,0.23952,0.13539,0.79699,0.0022285,0.0022285,0.0022285
159,16561.4,0.41559,0.27134,0.92851,0.99532,0.99786,0.99466,0.97844,0.23728,0.13379,0.7959,0.002179,0.002179,0.002179
160,16653.3,0.41646,0.27004,0.92449,0.99499,0.99902,0.99465,0.97849,0.23617,0.13327,0.79573,0.0021295,0.0021295,0.0021295
161,16746.7,0.40973,0.26437,0.92495,0.99504,0.99896,0.99465,0.97876,0.23384,0.13459,0.79354,0.00208,0.00208,0.00208
162,16844.7,0.40918,0.26523,0.92302,0.99596,0.9985,0.99464,0.97938,0.23271,0.13434,0.79279,0.0020305,0.0020305,0.0020305
163,16937.2,0.40766,0.26697,0.92443,0.99677,0.9985,0.99463,0.9801,0.232,0.13365,0.79254,0.001981,0.001981,0.001981
164,17030.1,0.40973,0.26509,0.92474,0.99653,0.99779,0.99463,0.97935,0.23114,0.13288,0.7927,0.0019315,0.0019315,0.0019315
165,17128.6,0.40283,0.25996,0.91652,0.99691,0.99621,0.99462,0.97991,0.22988,0.1332,0.79289,0.001882,0.001882,0.001882
166,17220.2,0.39363,0.25209,0.9122,0.99655,0.99605,0.99463,0.98078,0.22911,0.13283,0.79273,0.0018325,0.0018325,0.0018325
167,17313.3,0.39804,0.25396,0.91643,0.99561,0.99735,0.99465,0.98101,0.22695,0.13184,0.79143,0.001783,0.001783,0.001783
168,17412.1,0.39825,0.25863,0.9191,0.99651,0.99725,0.99463,0.98153,0.22596,0.13082,0.79199,0.0017335,0.0017335,0.0017335
169,17503.9,0.3988,0.25891,0.9189,0.99532,0.99762,0.99462,0.98178,0.22472,0.13067,0.79101,0.001684,0.001684,0.001684
170,17597.1,0.38964,0.25414,0.91472,0.99572,0.9979,0.99462,0.98159,0.22278,0.12916,0.78972,0.0016345,0.0016345,0.0016345
171,17695.7,0.38946,0.24874,0.91571,0.99518,0.99827,0.99464,0.98221,0.22231,0.12875,0.78925,0.001585,0.001585,0.001585
172,17788.1,0.38807,0.25038,0.91103,0.99576,0.99867,0.99464,0.98255,0.22191,0.12823,0.78912,0.0015355,0.0015355,0.0015355
173,17881.1,0.38855,0.24893,0.91807,0.99458,0.99885,0.99463,0.98211,0.2208,0.12799,0.789,0.001486,0.001486,0.001486
174,17975,0.38586,0.2461,0.91377,0.99441,0.998,0.9946,0.98239,0.22017,0.12808,0.78874,0.0014365,0.0014365,0.0014365
175,18068,0.39105,0.25201,0.91598,0.99563,0.99765,0.99461,0.9834,0.21993,0.12877,0.78848,0.001387,0.001387,0.001387
176,18161,0.38195,0.24548,0.91168,0.99581,0.9974,0.99462,0.98359,0.21929,0.12845,0.78813,0.0013375,0.0013375,0.0013375
177,18255,0.37937,0.24662,0.91065,0.99553,0.99737,0.99459,0.98277,0.21882,0.12837,0.78788,0.001288,0.001288,0.001288
178,18349.4,0.37633,0.24136,0.91091,0.99603,0.99713,0.99462,0.98383,0.21785,0.1281,0.78763,0.0012385,0.0012385,0.0012385
179,18443.8,0.37632,0.24591,0.9091,0.99576,0.99812,0.9946,0.98385,0.21706,0.1283,0.78732,0.001189,0.001189,0.001189
180,18542.5,0.37504,0.24495,0.91277,0.99589,0.99797,0.99461,0.98393,0.21514,0.12661,0.78649,0.0011395,0.0011395,0.0011395
181,18634.1,0.37036,0.23763,0.90887,0.99584,0.99836,0.99461,0.9844,0.21377,0.12698,0.78613,0.00109,0.00109,0.00109
